Date,Exchange Rate
2024-10-11 08:00:00,149.058
2024-10-11 08:30:00,149.089
2024-10-11 09:00:00,149.112
2024-10-11 09:30:00,149.239
2024-10-11 10:00:00,149.257
2024-10-11 10:30:00,149.12
2024-10-11 11:00:00,149.122
2024-10-11 11:30:00,149.032
2024-10-11 12:00:00,148.998
2024-10-11 12:30:00,149.063
2024-10-11 13:00:00,149.032
2024-10-11 13:30:00,149.056
2024-10-11 14:00:00,149.108
2024-10-11 14:30:00,149.123
2024-10-11 15:00:00,149.139
2024-10-11 15:30:00,149.152
2024-10-11 16:00:00,149.091
2024-10-11 16:30:00,149.09
2024-10-13 17:30:00,149.254
2024-10-13 18:00:00,149.326
2024-10-13 18:30:00,149.234
2024-10-13 19:00:00,149.305
2024-10-13 19:30:00,149.229
2024-10-13 20:00:00,149.217
2024-10-13 20:30:00,149.189
2024-10-13 21:00:00,149.21
2024-10-13 21:30:00,149.234
2024-10-13 22:00:00,149.315
2024-10-13 22:30:00,149.285
2024-10-13 23:00:00,149.323
2024-10-13 23:30:00,149.284
2024-10-14 00:00:00,149.283
2024-10-14 00:30:00,149.27
2024-10-14 01:00:00,149.221
2024-10-14 01:30:00,149.207
2024-10-14 02:00:00,149.205
2024-10-14 02:30:00,149.278
2024-10-14 03:00:00,149.353
2024-10-14 03:30:00,149.418
2024-10-14 04:00:00,149.42
2024-10-14 04:30:00,149.364
2024-10-14 05:00:00,149.392
2024-10-14 05:30:00,149.422
2024-10-14 06:00:00,149.515
2024-10-14 06:30:00,149.668
2024-10-14 07:00:00,149.64
2024-10-14 07:30:00,149.753
2024-10-14 08:00:00,149.734
2024-10-14 08:30:00,149.859
2024-10-14 09:00:00,149.784
2024-10-14 09:30:00,149.882
2024-10-14 10:00:00,149.841
2024-10-14 10:30:00,149.83
2024-10-14 11:00:00,149.823
2024-10-14 11:30:00,149.881
2024-10-14 12:00:00,149.928
2024-10-14 12:30:00,149.885
2024-10-14 13:00:00,149.869
2024-10-14 13:30:00,149.864
2024-10-14 14:00:00,149.901
2024-10-14 14:30:00,149.763
2024-10-14 15:00:00,149.758
2024-10-14 15:30:00,149.727
2024-10-14 16:00:00,149.736
2024-10-14 16:30:00,149.789
2024-10-14 17:00:00,149.755
2024-10-14 17:30:00,149.765
2024-10-14 18:00:00,149.73
2024-10-14 18:30:00,149.697
2024-10-14 19:00:00,149.715
2024-10-14 19:30:00,149.574
2024-10-14 20:00:00,149.575
2024-10-14 20:30:00,149.473
2024-10-14 21:00:00,149.523
2024-10-14 21:30:00,149.658
2024-10-14 22:00:00,149.615
