Date,Exchange Rate
2015/11/1,120.495
2015/11/2,120.788
2015/11/3,121.095
2015/11/4,121.49
2015/11/5,121.67
2015/11/8,123.2
2015/11/9,123.077
2015/11/10,123.084
2015/11/11,122.757
2015/11/12,122.56
2015/11/15,122.364
2015/11/16,123.266
2015/11/17,123.445
2015/11/18,123.525
2015/11/19,122.912
2015/11/22,122.923
2015/11/23,122.915
2015/11/24,122.505
2015/11/25,122.68
2015/11/26,122.634
2015/11/29,122.83
2015/11/30,123.21
2015/12/1,122.915
2015/12/2,123.226
2015/12/3,122.653
2015/12/6,123.19
2015/12/7,123.28
2015/12/8,122.912
2015/12/9,121.7
2015/12/10,121.71
2015/12/13,120.893
2015/12/14,121.09
2015/12/15,121.675
2015/12/16,122.463
2015/12/17,122.45
2015/12/20,121.3
2015/12/21,121.206
2015/12/22,121.03
2015/12/23,120.935
2015/12/24,120.17
2015/12/27,120.231
2015/12/28,120.35
2015/12/29,120.529
2015/12/30,120.45
2015/12/31,120.288
2016/1/3,120.311
2016/1/4,119.467
2016/1/5,119.102
2016/1/6,118.61
2016/1/7,117.54
2016/1/10,117.08
2016/1/11,117.65
2016/1/12,117.83
2016/1/13,117.425
2016/1/14,118.203
2016/1/17,116.99
2016/1/18,117.384
2016/1/19,117.565
2016/1/20,117.134
2016/1/21,117.924
2016/1/24,118.572
2016/1/25,118.228
2016/1/26,118.38
2016/1/27,118.467
2016/1/28,118.93
2016/1/31,121.34
2016/2/1,120.84
2016/2/2,119.856
2016/2/3,118.12
2016/2/4,116.866
2016/2/7,116.95
2016/2/8,115.668
2016/2/9,115.191
2016/2/10,113.252
2016/2/11,112.497
2016/2/14,113.67
2016/2/15,114.322
2016/2/16,114.08
2016/2/17,114.28
2016/2/18,113.25
2016/2/21,112.489
2016/2/22,112.971
2016/2/23,111.88
2016/2/24,112.101
2016/2/25,113.118
2016/2/28,113.66
2016/2/29,112.43
2016/3/1,113.93
2016/3/2,113.466
2016/3/3,113.67
2016/3/6,113.803
2016/3/7,113.452
2016/3/8,112.66
2016/3/9,113.253
2016/3/10,112.86
2016/3/13,113.778
2016/3/14,113.83
2016/3/15,113.105
2016/3/16,112.752
2016/3/17,111.35
2016/3/20,111.445
2016/3/21,112.139
2016/3/22,112.252
2016/3/23,112.4
2016/3/24,112.83
2016/3/27,113.45
2016/3/28,113.364
2016/3/29,112.68
2016/3/30,112.366
2016/3/31,112.48
2016/4/3,111.722
2016/4/4,111.25
2016/4/5,110.378
2016/4/6,109.699
2016/4/7,108.427
2016/4/10,108.311
2016/4/11,107.93
2016/4/12,108.64
2016/4/13,109.42
2016/4/14,109.316
2016/4/17,108.017
2016/4/18,109.073
2016/4/19,109.24
2016/4/20,109.838
2016/4/21,109.437
2016/4/24,111.436
2016/4/25,111.136
2016/4/26,111.23
2016/4/27,111.52
2016/4/28,108.076
2016/5/1,106.453
2016/5/2,106.396
2016/5/3,106.68
2016/5/4,106.92
2016/5/5,107.275
2016/5/8,107.36
2016/5/9,108.331
2016/5/10,109.194
2016/5/11,108.415
2016/5/12,109.1
2016/5/15,108.661
2016/5/16,109.08
2016/5/17,108.95
2016/5/18,110.14
2016/5/19,109.881
2016/5/22,110.05
2016/5/23,109.374
2016/5/24,110.17
2016/5/25,110.111
2016/5/26,109.713
2016/5/29,110.77
2016/5/30,110.841
2016/5/31,110.67
2016/6/1,109.477
2016/6/2,108.86
2016/6/5,106.721
2016/6/6,107.438
2016/6/7,107.254
2016/6/8,106.78
2016/6/9,107.09
2016/6/12,106.504
2016/6/13,106.226
2016/6/14,106.087
2016/6/15,105.85
2016/6/16,104.743
2016/6/19,104.648
2016/6/20,103.824
2016/6/21,104.67
2016/6/22,104.65
2016/6/23,104.896
2016/6/26,102.127
2016/6/27,101.812
2016/6/28,102.701
2016/6/29,102.778
2016/6/30,103.073
2016/7/3,102.488
2016/7/4,102.518
2016/7/5,101.141
2016/7/6,101.15
2016/7/7,100.79
2016/7/10,100.692
2016/7/11,102.524
2016/7/12,104.756
2016/7/13,104.076
2016/7/14,105.191
2016/7/17,105.459
2016/7/18,106.146
2016/7/19,106.137
2016/7/20,107.204
2016/7/21,105.811
2016/7/24,106.326
2016/7/25,105.578
2016/7/26,104.849
2016/7/27,104.951
2016/7/28,104.745
2016/7/31,102.332
2016/8/1,102.359
2016/8/2,101.068
2016/8/3,101.337
2016/8/4,101.199
2016/8/7,102.145
2016/8/8,102.288
2016/8/9,101.915
2016/8/10,101.133
2016/8/11,101.808
2016/8/14,101.283
2016/8/15,101.24
2016/8/16,100.2
2016/8/17,99.906
2016/8/18,100.112
2016/8/21,100.554
2016/8/22,100.251
2016/8/23,100.311
2016/8/24,100.552
2016/8/25,100.555
2016/8/28,101.92
2016/8/29,101.809
2016/8/30,102.868
2016/8/31,103.302
2016/9/1,103.258
2016/9/4,103.934
2016/9/5,103.51
2016/9/6,101.525
2016/9/7,101.829
2016/9/8,102.306
2016/9/11,102.438
2016/9/12,101.751
2016/9/13,102.504
2016/9/14,102.548
2016/9/15,102.008
2016/9/18,102.307
2016/9/19,101.846
2016/9/20,101.547
2016/9/21,100.393
2016/9/22,100.831
2016/9/25,100.889
2016/9/26,100.359
2016/9/27,100.468
2016/9/28,100.935
2016/9/29,101.199
2016/10/2,101.563
2016/10/3,101.817
2016/10/4,102.88
2016/10/5,103.46
2016/10/6,103.765
2016/10/9,103.018
2016/10/10,103.697
2016/10/11,103.342
2016/10/12,104.304
2016/10/13,103.722
2016/10/16,104.039
2016/10/17,103.851
2016/10/18,103.865
2016/10/19,103.391
2016/10/20,104.109
2016/10/23,103.917
2016/10/24,104.321
2016/10/25,104.154
2016/10/26,104.563
2016/10/27,105.209
2016/10/30,104.565
2016/10/31,104.82
2016/11/1,104.092
2016/11/2,103.378
2016/11/3,103.052
2016/11/6,104.195
2016/11/7,104.438
2016/11/8,105.03
2016/11/9,105.853
2016/11/10,106.856
2016/11/13,106.871
2016/11/14,108.202
2016/11/15,109.038
2016/11/16,108.785
2016/11/17,110.256
2016/11/20,110.973
2016/11/21,110.65
2016/11/22,111.006
2016/11/23,112.582
2016/11/24,113.292
2016/11/27,112.652
2016/11/28,111.69
2016/11/29,112.47
2016/11/30,114.694
2016/12/1,113.909
2016/12/4,113.505
2016/12/5,113.863
2016/12/6,114.052
2016/12/7,113.713
2016/12/8,114.075
2016/12/11,115.412
2016/12/12,115.002
2016/12/13,115.224
2016/12/14,117.211
2016/12/15,118.241
2016/12/18,117.791
2016/12/19,117.037
2016/12/20,117.875
2016/12/21,117.604
2016/12/22,117.542
2016/12/25,117.31
2016/12/26,117.192
2016/12/27,117.48
2016/12/28,117.087
2016/12/29,116.267
2017/1/1,116.795
2017/1/2,117.495
2017/1/3,117.659
2017/1/4,117.113
2017/1/5,115.265
2017/1/8,117.15
2017/1/9,115.985
2017/1/10,115.872
2017/1/11,115.098
2017/1/12,114.664
2017/1/15,114.227
2017/1/16,114.152
2017/1/17,112.878
2017/1/18,114.762
2017/1/19,114.98
2017/1/22,113.81
2017/1/23,112.78
2017/1/24,113.84
2017/1/25,113.293
2017/1/26,114.455
2017/1/29,114.668
2017/1/30,113.65
2017/1/31,112.743
2017/2/1,113.311
2017/2/2,112.789
2017/2/5,112.639
2017/2/6,111.827
2017/2/7,112.387
2017/2/8,111.952
2017/2/9,113.434
2017/2/12,113.914
2017/2/13,113.705
2017/2/14,114.301
2017/2/15,114.112
2017/2/16,113.305
2017/2/19,112.911
2017/2/20,113.28
2017/2/21,113.669
2017/2/22,113.417
2017/2/23,112.682
2017/2/26,112.188
2017/2/27,112.745
2017/2/28,113.077
2017/3/1,114.121
2017/3/2,114.342
2017/3/5,113.847
2017/3/6,113.917
2017/3/7,113.926
2017/3/8,114.411
2017/3/9,115.149
2017/3/12,114.732
2017/3/13,114.915
2017/3/14,114.659
2017/3/15,113.402
2017/3/16,113.34
2017/3/19,112.674
2017/3/20,112.573
2017/3/21,111.532
2017/3/22,111.369
2017/3/23,111.004
2017/3/26,110.552
2017/3/27,110.771
2017/3/28,111.226
2017/3/29,111.154
2017/3/30,111.776
2017/4/2,111.265
2017/4/3,110.709
2017/4/4,110.854
2017/4/5,110.381
2017/4/6,110.897
2017/4/9,111.225
2017/4/10,110.717
2017/4/11,109.587
2017/4/12,108.902
2017/4/13,109.101
2017/4/16,108.323
2017/4/17,109.112
2017/4/18,108.535
2017/4/19,108.834
2017/4/20,109.375
2017/4/23,109.978
2017/4/24,109.641
2017/4/25,111.046
2017/4/26,111.191
2017/4/27,111.226
2017/4/30,111.302
2017/5/1,111.812
2017/5/2,111.969
2017/5/3,112.783
2017/5/4,112.537
2017/5/7,112.684
2017/5/8,113.23
2017/5/9,113.698
2017/5/10,114.328
2017/5/11,113.809
2017/5/14,113.271
2017/5/15,113.642
2017/5/16,112.646
2017/5/17,111.126
2017/5/18,111.401
2017/5/21,111.284
2017/5/22,110.891
2017/5/23,111.957
2017/5/24,111.524
2017/5/25,111.73
2017/5/28,111.256
2017/5/29,111.174
2017/5/30,110.839
2017/5/31,110.796
2017/6/1,111.437
2017/6/4,110.463
2017/6/5,110.381
2017/6/6,109.509
2017/6/7,109.9
2017/6/8,109.859
2017/6/11,110.288
2017/6/12,109.921
2017/6/13,110.055
2017/6/14,109.446
